,Model,Extra,Mode,Extra ratio
336,QCL,6.538936367313201e-05,sin1/2,0.5
337,GPR,0.0004312422760666345,sin1/2,0.5
338,DNN,0.030335696174057798,sin1/2,0.5
339,QCL,3.329393879352291e-05,sin1/2,0.7
340,GPR,0.026503476579267406,sin1/2,0.7
341,DNN,0.34614880680880655,sin1/2,0.7
342,QCL,1.7404663122966943e-05,sin1/2,0.9
343,GPR,0.2109261782591419,sin1/2,0.9
344,DNN,0.809117207091695,sin1/2,0.9
345,QCL,0.10239120205416621,sin,0.1
346,GPR,1.9149147264628755e-06,sin,0.1
347,DNN,0.01262585878984258,sin,0.1
348,QCL,0.32606581864390516,sin,0.3
349,GPR,0.001870756012363319,sin,0.3
350,DNN,0.06546716952502658,sin,0.3
351,QCL,0.7988618282377553,sin,0.5
352,GPR,0.11539633289701183,sin,0.5
353,DNN,0.8669570362408413,sin,0.5
354,QCL,0.7398245927664688,sin,0.7
355,GPR,0.038935639149478035,sin,0.7
356,DNN,1.9970079381900934,sin,0.7
357,QCL,0.4973446787311588,sin,0.9
358,GPR,0.445817212459202,sin,0.9
359,DNN,3.8607326759854286,sin,0.9
360,QCL,0.2063156049842508,sin2,0.1
361,GPR,0.00042907830935449076,sin2,0.1
362,DNN,0.12432762563808442,sin2,0.1
363,QCL,4.358139314138171,sin2,0.3
364,GPR,0.10166897787157762,sin2,0.3
365,DNN,2.661481215475825,sin2,0.3
366,QCL,4.005537745797547,sin2,0.5
367,GPR,0.46816377806644527,sin2,0.5
368,DNN,2.5578408871303164,sin2,0.5
369,QCL,1.9055237172579202,sin2,0.7
370,GPR,0.4899485287281378,sin2,0.7
371,DNN,4.647614708978192,sin2,0.7
372,QCL,1.6458426375223918,sin2,0.9
373,GPR,0.4606267007331409,sin2,0.9
374,DNN,12.378880551316366,sin2,0.9
375,QCL,0.0003709112856372195,linear,0.1
376,GPR,1.1306475246029382e-05,linear,0.1
377,DNN,0.0003221400278597135,linear,0.1
378,QCL,0.00020524639812852884,linear,0.3
379,GPR,7.007847135681792e-05,linear,0.3
380,DNN,0.0004669702144852512,linear,0.3
381,QCL,8.24621633031948e-05,linear,0.5
382,GPR,0.003851913627932443,linear,0.5
383,DNN,7.414693502300406e-05,linear,0.5
384,QCL,0.00010712458387174843,linear,0.7
385,GPR,0.025326643936755953,linear,0.7
386,DNN,0.03971420668306473,linear,0.7
387,QCL,4.7490243599304974e-05,linear,0.9
388,GPR,0.10106342080295495,linear,0.9
389,DNN,0.009234046211337317,linear,0.9
390,QCL,0.00027775231764238384,exp,0.1
391,GPR,1.1411294831726519e-05,exp,0.1
392,DNN,0.0001931091793345553,exp,0.1
393,QCL,0.006505634723811712,exp,0.3
394,GPR,0.0013401008211131175,exp,0.3
395,DNN,0.00964939335634763,exp,0.3
396,QCL,0.003403798468131774,exp,0.5
397,GPR,0.006768263371962307,exp,0.5
398,DNN,0.04000990244033651,exp,0.5
399,QCL,0.005690616947873323,exp,0.7
400,GPR,0.04066898866796497,exp,0.7
401,DNN,0.0659108043265707,exp,0.7
402,QCL,0.002855083652583528,exp,0.9
403,GPR,0.0447874887207154,exp,0.9
404,DNN,0.1825240473684768,exp,0.9
405,QCL,0.0003451674666642789,sin1/2,0.1
406,GPR,1.0256973828412098e-05,sin1/2,0.1
407,DNN,0.0015246847012804392,sin1/2,0.1
408,QCL,9.715375975079531e-05,sin1/2,0.3
409,GPR,0.0010575871443916393,sin1/2,0.3
410,DNN,0.0007167043009748109,sin1/2,0.3
411,QCL,0.00010281060855220144,sin1/2,0.5
412,GPR,0.0003261219857127719,sin1/2,0.5
413,DNN,0.013270064238274353,sin1/2,0.5
414,QCL,4.457561835543061e-05,sin1/2,0.7
415,GPR,0.039036008787561916,sin1/2,0.7
416,DNN,0.5217180444146359,sin1/2,0.7
417,QCL,2.534352977629406e-05,sin1/2,0.9
418,GPR,1.0782406616943048,sin1/2,0.9
419,DNN,0.700570809777135,sin1/2,0.9
420,QCL,0.10019398568830533,sin,0.1
421,GPR,4.486964019360484e-07,sin,0.1
422,DNN,0.0186727141631473,sin,0.1
423,QCL,0.3001741816953538,sin,0.3
424,GPR,0.0018536093266855924,sin,0.3
425,DNN,0.122154083777291,sin,0.3
426,QCL,0.928995442542708,sin,0.5
427,GPR,0.17193843180967977,sin,0.5
428,DNN,1.0117072789973007,sin,0.5
429,QCL,0.58154081918262,sin,0.7
430,GPR,0.04583769249712285,sin,0.7
431,DNN,3.003874750761195,sin,0.7
432,QCL,0.3917849640241296,sin,0.9
433,GPR,0.4507154066484443,sin,0.9
434,DNN,5.954806751965033,sin,0.9
435,QCL,0.23724207983906176,sin2,0.1
436,GPR,4.517378929389462e-06,sin2,0.1
437,DNN,0.03983586161453625,sin2,0.1
438,QCL,2.295942718717636,sin2,0.3
439,GPR,0.055859201299418425,sin2,0.3
440,DNN,0.17097660819564264,sin2,0.3
441,QCL,3.2145980410901394,sin2,0.5
442,GPR,0.46712655904465966,sin2,0.5
443,DNN,1.4412548440644213,sin2,0.5
444,QCL,3.002631142319475,sin2,0.7
445,GPR,0.36683863206948014,sin2,0.7
446,DNN,3.1628509577334776,sin2,0.7
447,QCL,2.0678420676887628,sin2,0.9
448,GPR,0.5374648402205918,sin2,0.9
449,DNN,9.677093596799226,sin2,0.9
450,QCL,3.771839522072949e-07,linear,0.1
451,GPR,2.0445298361713326e-06,linear,0.1
452,DNN,0.0003742176104565743,linear,0.1
453,QCL,1.1044820337198998e-07,linear,0.3
454,GPR,0.0002407644037970107,linear,0.3
455,DNN,0.0006902142241412788,linear,0.3
456,QCL,5.99523180939111e-08,linear,0.5
457,GPR,0.005234750575230612,linear,0.5
458,DNN,0.00042681770254951874,linear,0.5
459,QCL,3.0084119914593316e-08,linear,0.7
460,GPR,0.025018085585650933,linear,0.7
461,DNN,0.0006975027837741718,linear,0.7
462,QCL,1.7332406548991813e-07,linear,0.9
463,GPR,0.10242325835216673,linear,0.9
464,DNN,0.5000182802613156,linear,0.9
465,QCL,0.00048500758174935363,exp,0.1
466,GPR,5.0431971276045356e-05,exp,0.1
467,DNN,0.0010758312580690526,exp,0.1
468,QCL,3.8315006378686657e-05,exp,0.3
469,GPR,0.0016820790371937337,exp,0.3
470,DNN,0.008771217296039887,exp,0.3
471,QCL,0.0010112587600538778,exp,0.5
472,GPR,0.005635810324426038,exp,0.5
473,DNN,0.033699495064973516,exp,0.5
474,QCL,0.03650468732085751,exp,0.7
